,date,category,fundsLost
470,2022-11-08,"Borrowing and Lending,Exchange (DEX),Stablecoin",110911
471,2022-11-09,"Exchange (DEX),Yield Aggregator",89522
472,2022-11-10,Exchange (DEX),7645284
473,2022-11-10,Other,41053572
474,2022-11-10,Token,454953
475,2022-11-11,"CeFi,Other",1000000000
476,2022-11-13,"Exchange (DEX),Yield Aggregator",4173646
477,2022-11-13,Token,17010503
478,2022-11-15,Gaming / Metaverse,91320
479,2022-11-18,Other,7000
480,2022-11-20,Token,120083
481,2022-11-21,"Borrowing and Lending,CeFi",2800000000
482,2022-11-21,Yield Aggregator,6073083
483,2022-11-28,CeFi,1000000000
484,2022-12-01,Token,426892
485,2022-12-02,Exchange (DEX),5000000
486,2022-12-03,CeFi,3000000
487,2022-12-04,Other,301754
488,2022-12-10,Borrowing and Lending,5800000
489,2022-12-12,Token,18476
490,2022-12-13,Exchange (DEX),850000
491,2022-12-14,CeFi,0
492,2022-12-14,Other,76000
493,2022-12-16,Exchange (DEX),4400000
494,2022-12-20,CeFi,20000000
495,2022-12-23,Stablecoin,12000000
496,2022-12-25,Exchange (DEX),1420000
497,2022-12-26,Other,8000000
498,2022-12-30,Exchange (DEX),468000
499,2022-12-31,Exchange (DEX),2100000
500,2022-12-31,Other,3600000
501,2023-01-03,Other,4367000
502,2023-01-04,Token,2588000
503,2023-01-12,Borrowing and Lending,6000000
504,2023-01-15,Borrowing and Lending,650000
505,2023-01-17,NFT,70000
506,2023-01-18,Token,150000
507,2023-01-19,Other,580000
